entity_id,dob,main_legends,input_type,roles,algs_points_2020-21:,alternate_ids,player_years_active_range,player_years_active,player_total_winnings,player_placements_gold,player_placements_silver,player_placements_bronze,talent_years_active_range,talent_years_active,talent_events_covered,coach_years_active_range,coach_years_active,coach_total_winnings,coach_placements_gold,coach_placements_silver,coach_placements_bronze
FenDiiLYZ,1999-07-05,gibraltar,mouse & keyboard,player,1630,FenDiiLYZ;LYZ,2019-07-07;2021-12-05,2,5220.0,0,1,0,,,,,,,,,
feu,,,mouse & keyboard,player,1620,FEU,2020-05-02;2022-01-15,2,6353.0,1,0,2,,,,,,,,,
Finest,1998-02-23,wraith;octane,mouse & keyboard,player,,,2019-03-18;2021-05-07,2,0.0,0,0,1,,,,,,,,,
Finicki,1995-07-29,,controller,player,2230,,2019-10-06;2021-10-04,2,595.0,2,1,4,,,,,,,,,
FiReMaNNN,,pathfinder,mouse & keyboard,,580,,,,,,,,,,,,,,,,
Firo,,,mouse & keyboard,player,2230,oklahoma,2020-10-04;2021-02-22,1,1500.0,0,1,0,,,,,,,,,
fitoo,1998-05-24,bloodhound;crypto;wattson,mouse & keyboard,,1280,fitoohhh,,,,,,,,,,,,,,,
Fixzao,,,mouse & keyboard,player,1520,ffix,2020-05-02;2021-12-05,1,6600.0,2,0,0,,,,,,,,,
Fjeldern,1996-06-12,wattson,mouse & keyboard,player,1280,,2019-03-22;2020-05-09,1,10910.0,0,0,1,,,,,,,,,
fLameShotx,,wraith,mouse & keyboard,player,2070,,2020-03-21;2022-01-09,2,369.0,1,4,0,,,,,,,,,
Flanker,1998-07-03,caustic;bloodhound,mouse & keyboard,player,12745,,2019-03-02;2022-02-02,3,81806.0,15,9,11,,,,,,,,,
Flaws,,,,player,2850,,2019-03-31;2022-03-13,3,571.0,2,2,1,,,,,,,,,
Fleeky_af,1997-12-06,gibraltar,mouse & keyboard,,1140,,,,,,,,,,,,,,,,
Fleow,,wattson;caustic,mouse & keyboard,player,5350,,2020-05-02;2021-04-11,1,797.0,1,1,0,,,,,,,,,
Fokarn,2001-08-07,wraith;pathfinder,mouse & keyboard,player,1910,Aiiiao,2019-06-27;2022-02-24,3,790.0,0,1,1,,,,,,,,,
FOLKZ,1995-04-28,pathfinder,mouse & keyboard,player,4455,,2020-01-26;2021-12-05,1,495.0,0,1,1,,,,,,,,,
Folti,1994-08-20,octane,mouse & keyboard,player,900,,2020-03-23;2022-02-02,2,9277.0,1,1,1,,,,,,,,,
Forcee,1992-12-02,wattson;gibraltar;bloodhound,mouse & keyboard,player,2590,,2019-04-13;2022-03-23,3,12322.0,1,7,3,,,,,,,,,
Forsak3n,1995-12-26,pathfinder;gibraltar,mouse & keyboard,player,1280,,2019-04-03;2021-12-05,2,10710.0,0,1,0,,,,,,,,,
FoxieGG,,,mouse & keyboard,player,400,,2019-03-05;2020-03-23,1,0.0,0,0,0,,,,,,,,,
foZej,1993-02-01,wraith,mouse & keyboard,player,5730,,2020-03-21;2021-09-13,1,16813.0,4,2,4,,,,,,,,,
FRANxx,,wraith,controller,player,,ECLAlR7,2021-04-25;2022-01-28,1,8926.0,1,0,2,,,,,,,,,
Frapper,2001-04-21,gibraltar,mouse & keyboard,player,3450,,2019-11-09;2021-12-11,2,635.0,0,3,1,,,,,,,,,
Fratis,1997-07-30,wraith;caustic,mouse & keyboard,player,7970,,2019-11-22;2022-01-09,3,1590.0,1,2,1,,,,,,,,,
frazi,,crypto,mouse & keyboard,player,1620,frazigames,2020-03-21;2022-03-14,2,3253.0,0,1,0,,,,,,,,,
freddo,1997-05-24,,mouse & keyboard,player,,,2019-02-23;2019-08-22,0,300.0,1,1,0,,,,,,,,,
FreeD,,gibraltar,mouse & keyboard,player,1400,,2019-11-14;2021-07-18,2,2400.0,0,0,0,,,,,,,,,
FRESHY,1991-06-07,lifeline;pathfinder;wraith,mouse & keyboard,player,220,,2019-03-22;2020-02-01,1,0.0,0,0,0,,,,,,,,,
Frexs,1994-04-18,,controller,player,13100,,2019-02-19;2022-03-22,3,140944.0,14,14,9,,,,,,,,,
Frogz,,,controller,player,,,2021-05-05;2022-03-14,1,10900.0,1,1,1,,,,,,,,,
Frostybee,1999-06-01,wraith,mouse & keyboard,player,1570,,2020-01-26;2020-04-18,0,146.0,0,0,1,,,,,,,,,
Ftyan,2000-04-08,wraith,mouse & keyboard,,10315,,,,,,,,,,,,,,,,
Fubuki,,,mouse & keyboard,player,,Sabaki,2021-04-11;2021-07-19,0,0.0,0,1,1,,,,,,,,,
fuinhaFPS,1996-12-10,caustic,mouse & keyboard,player,6380,,2020-06-21;2022-01-15,2,21172.0,8,4,3,,,,,,,,,
FunFPS,1997-06-26,gibraltar,mouse & keyboard,player,3270,,2019-03-04;2022-03-23,3,71286.0,5,8,4,,,,,,,,,
Funk,1995-06-24,gibraltar;wraith,mouse & keyboard,player,3070,FunkMastaaa;BigChunkFunk;Funkk,2019-03-15;2021-11-22,2,2360.0,1,4,3,,,,,,,,,
Furaru,,,mouse & keyboard,player,4390,,2020-04-18;2021-02-21,1,1500.0,0,1,0,,,,,,,,,
Furen,1996-11-25,wraith;bangalore,mouse & keyboard,player,,,2019-05-04;2019-12-22,0,150.0,1,0,1,,,,,,,,,
Fury,1999-05-17,wraith;wattson,mouse & keyboard,player,6920,,2019-03-23;2022-03-23,3,28299.0,13,10,18,,,,,,,,,
Fussy,2003-01-07,gibraltar;valkyrie,controller,player,,,2021-04-20;2021-12-16,0,47.0,0,2,0,,,,,,,,,
FuTuRe,2001-04-15,pathfinder;wraith,mouse & keyboard,player,,,2019-03-06;2019-11-27,0,2168.0,2,2,1,,,,,,,,,
Fyzu,1995-02-15,gibraltar,mouse & keyboard,player,6850,,2019-03-17;2021-12-05,2,9995.0,3,6,3,,,,,,,,,
Fzr,01-15,,,player,980,FzR,2020-08-09;2022-01-23,2,6763.0,0,1,0,,,,,,,,,
G0_Zh,2002-09-28,crypto,mouse & keyboard,player,340,,2020-05-03;2022-02-20,2,0.0,0,0,0,,,,,,,,,
G0PGAP,2001-05-27,pathfinder;bloodhound,mouse & keyboard,player,13550,,2020-03-21;2022-02-20,2,65399.0,19,12,10,,,,,,,,,
G7Dank,2001-03-11,bloodhound;gibraltar;wraith,controller,player,710,,2020-12-17;2022-03-15,2,5673.0,2,8,7,,,,,,,,,
Gabe,2001-06-08,gibraltar;pathfinder,mouse & keyboard,player,,Ponyy,2019-05-31;2019-12-22,0,0.0,1,0,2,,,,,,,,,
Gabeismon,1994-06-07,,mouse & keyboard,player,1430,Gabeismom,2019-03-27;2020-08-02,1,6492.0,1,3,0,,,,,,,,,
Gabonito,,,mouse & keyboard,player,200,,2020-05-30;2021-06-05,1,1548.0,0,0,0,,,,,,,,,
Gaijin,1998-06-13,wraith;gibraltar;wattson,mouse & keyboard,player,3985,ArMzAdOg,2020-01-26;2021-12-05,1,870.0,0,2,1,,,,,,,,,
Galatorix,,lifeline;wattson,mouse & keyboard,player,2710,,2019-03-15;2021-11-22,2,2388.75,0,4,5,,,,,,,,,
Gallardd,,wraith,mouse & keyboard,player,4630,NYAAA-DESUNE,2019-03-13;2020-10-31,1,3394.0,1,3,2,,,,,,,,,
Ganjo,,wraith,mouse & keyboard,,,,,,,,,,,,,,,,,,
GaRpY,1985-11-08,bloodhound;pathfinder;lifeline,mouse & keyboard,player,170,,2019-03-11;2020-03-23,1,6600.0,2,1,0,,,,,,,,,
Gaskin,07-05,,mouse & keyboard,talent,,,,,,,,,2019-09-15;2022-03-27,3,29,,,,,,
GathaN,1990-06-19,gibraltar,mouse & keyboard,player,1960,,2020-01-26;2020-11-06,0,146.0,0,0,1,,,,,,,,,
GatoK4,1998-05-27,wraith;pathfinder;bangalore,mouse & keyboard,player,2250,,2019-03-10;2021-12-05,2,2220.0,1,2,2,,,,,,,,,
Gaxalies,1995-09-02,pathfinder,mouse & keyboard,player,,,2019-03-23;2019-07-07,0,3370.0,1,0,1,,,,,,,,,
Gazzma,,,controller,talent,,,,,,,,,2021-04-05;2021-10-01,0,9,,,,,,
gdolphn,1995-04-11,octane,mouse & keyboard,player;talent;coach,3600,gdolphin,2019-04-27;2022-03-15,3,35120.0,3,9,3,2020-07-07;2022-01-10,2,21,2020-10-02;2021-09-30,1,164843.0,8,7,0
geesh,,octane,mouse & keyboard,player,380,,2019-04-07;2020-01-27,1,53489.0,2,4,2,,,,,,,,,
Gemasoft,,caustic;pathfinder,mouse & keyboard,talent;coach,,,,,,,,,2021-02-21;2021-06-13,0,8,2022-02-17;2022-03-04,0,600.0,0,0,0
Genburten,,caustic;bloodhound,controller,player,12720,,2020-01-26;2022-02-05,2,122729.0,32,17,8,,,,,,,,,
Geniusx,,wraith;bloodhound,mouse & keyboard,player,1850,,2020-05-30;2022-01-16,2,5174.0,1,0,0,,,,,,,,,
Genome,1989-07-03,,mouse & keyboard,talent,,,,,,,,,2020-08-02;2022-03-27,2,21,,,,,,
Gentrifyinq,1999-01-11,wraith;wattson,controller,player,13015,,2020-01-27;2022-03-23,2,159299.0,21,10,8,,,,,,,,,
Gerovic12,2000-02-29,gibraltar;wraith,controller,player,1400,Gerovic,2020-02-01;2022-01-14,2,28166.0,2,6,2,,,,,,,,,
GGEZ_Deep,10-22,wraith,mouse & keyboard,player,280,Juncheee;QAQ;QAQWQAQWQAQQAQ;Deep777777,2020-12-19;2022-03-13,2,10465.0,3,6,3,,,,,,,,,
Gigz,,,mouse & keyboard,player,,,2019-03-24;2020-02-21,1,46406.0,0,2,0,,,,,,,,,
Gildersons,2003-10-14,bloodhound;wraith;octane,controller,player,,Gild,2021-04-29;2022-03-23,1,12556.0,1,3,7,,,,,,,,,
Glahn,1996-08-15,bangalore,mouse & keyboard,player,,,2019-03-30;2019-09-15,0,0.0,0,0,0,,,,,,,,,
Glat,1998-03-04,,mouse & keyboard,player,,,2019-07-06;2019-07-06,0,874.0,1,0,0,,,,,,,,,
GlitterXplosion,,,mouse & keyboard,talent,,,,,,,,,2019-09-15;2022-03-27,3,12,,,,,,
Gnaske,2001-06-23,crypto;gibraltar,mouse & keyboard,,6485,GnaskeLone,,,,,,,,,,,,,,,
Golden,,,controller,player,1310,SilencedIsGolden,2019-04-20;2022-02-24,3,17735.0,9,2,5,,,,,,,,,
Goldenboy,1987-11-08,,mouse & keyboard,talent,,GoldenboyFTW,,,,,,,2019-07-11;2020-08-02,1,9,,,,,,
GossEyee,1999-11-15,wraith;pathfinder;wattson,mouse & keyboard,player,3420,Gos$,2019-03-17;2020-11-29,1,131.0,0,2,0,,,,,,,,,
Graceful,1994-03-16,wraith,mouse & keyboard,player,9120,LootingMartin,2019-03-27;2022-02-13,3,110708.0,11,14,10,,,,,,,,,
Grego,,,mouse & keyboard,player,120,,2019-03-02;2020-03-26,1,18490.0,0,0,0,,,,,,,,,
GregoM,1997-08-06,wraith;horizon,mouse & keyboard,,6020,GregoM7,,,,,,,,,,,,,,,
Grettsu,1994-07-12,lifeline;octane;wraith,mouse & keyboard,player,150,,2019-04-17;2020-04-06,1,0.0,0,0,0,,,,,,,,,
GrimReality,1999-08-07,,mouse & keyboard,player,,,2019-03-30;2019-09-15,0,1000.0,0,0,0,,,,,,,,,
GsBird,1997-06-05,gibraltar,controller,player,5455,,2020-01-27;2022-03-15,2,18670.0,5,7,10,,,,,,,,,
Gsnkryu,2004-08-09,,mouse & keyboard,player,,,2021-04-01;2022-03-13,1,9026.0,8,2,3,,,,,,,,,
GueiGo,1996-10-02,,mouse & keyboard,player,,standy5229;SweetCamper;billv3vb,2019-03-16;2022-03-18,3,6807.0,0,0,0,,,,,,,,,
GuGu,,,controller,player,,,2021-04-25;2022-03-20,1,2733.0,1,0,0,,,,,,,,,
GuhRL,1995-09-06,pathfinder,mouse & keyboard,player;talent,790,,2019-08-14;2022-02-22,3,63345.0,2,1,3,2020-07-12;2021-11-16,1,33,,,,,,
Guifaria1,2001-06-30,wraith,mouse & keyboard,player,2505,,2020-04-18;2022-03-14,2,600.0,0,0,2,,,,,,,,,
Guinho,1999-02-06,pathfinder,mouse & keyboard,player,3130,,2020-06-30;2022-03-14,2,2355.0,0,2,3,,,,,,,,,
Gutbuster,,,mouse & keyboard,player,620,,2020-11-21;2022-02-16,2,1163.0,3,2,3,,,,,,,,,
Gxnjy,2000-08-15,wraith;bloodhound;valkyrie,controller,player,,,2021-06-08;2022-01-26,1,13683.0,4,3,0,,,,,,,,,
H1yaA,,,mouse & keyboard,,1350,,,,,,,,,,,,,,,,
Hachikobtw,2000-05-03,pathfinder;lifeline,mouse & keyboard,player,290,Hachikobtw,2019-03-03;2020-04-06,1,170.0,1,1,2,,,,,,,,,
Hakis,1995-06-26,wraith;octane,mouse & keyboard,player,9170,hAKIS,2019-03-24;2022-03-20,3,191445.62,28,10,13,,,,,,,,,
HAL,,,mouse & keyboard,player,,,2019-02-19;2021-12-02,2,32399.0,1,0,1,,,,,,,,,
Halcyon,,,mouse & keyboard,player,,Shion,2019-03-08;2019-05-19,0,333.0,1,1,2,,,,,,,,,
Hambino,1996-10-24,gibraltar;wraith,mouse & keyboard,player,3405,Ham,2019-04-26;2022-02-22,3,34763.0,7,7,7,,,,,,,,,
HammerDrill,,horizon,controller,player,,,2021-07-10;2022-02-23,1,10824.0,1,1,3,,,,,,,,,
hanabijaa,2003-10-23,wattson;pathfinder,mouse & keyboard,player,2810,,2020-01-26;2020-07-05,0,3210.0,0,1,0,,,,,,,,,
Hardecki,2003-02-02,valkyrie,mouse & keyboard,,7145,,,,,,,,,,,,,,,,
Hardly,1996-06-21,wraith;octane,mouse & keyboard,player,,,2019-03-20;2019-05-22,0,768.0,3,1,1,,,,,,,,,
HaRu,,wraith,controller,player,1550,HaRuLuuuuuN;HanuelZeno,2020-05-30;2022-01-09,2,3276.0,5,4,6,,,,,,,,,
Hatsume,1998-08-27,,mouse & keyboard,talent,,hatsumememe,,,,,,,2020-04-25;2021-07-07,1,6,,,,,,
Heeeiii,,gibraltar,mouse & keyboard,player,680,CaresenDK,2020-08-07;2022-02-20,2,3727.0,2,2,1,,,,,,,,,
Heegak,1998-08-26,,mouse & keyboard,player,7210,,2019-04-21;2021-12-05,2,11951.0,1,1,3,,,,,,,,,
HELL,,lifeline;bangalore,mouse & keyboard,player,,,2019-03-11;2019-09-15,0,6600.0,2,1,0,,,,,,,,,
help,1998-04-30,crypto,mouse & keyboard,player,6140,Helping,2019-02-23;2021-10-04,2,25425.0,1,4,2,,,,,,,,,
henReel,,lifeline,mouse & keyboard,player,,,2019-03-30;2019-05-31,0,0.0,0,0,0,,,,,,,,,
Hero,1995-07-15,gibraltar;wraith;bloodhound,mouse & keyboard,player,3120,,2019-10-31;2021-11-04,2,1680.0,4,3,2,,,,,,,,,
Hers,,,,player;talent,,,2020-03-20;2021-01-02,1,300.0,1,0,0,2020-03-06;2022-06-16,2,70,,,,,,
Hesiko,2002-04-09,crypto,mouse & keyboard,player,6775,Yuk9,2020-03-21;2022-02-06,2,14355.0,2,1,2,,,,,,,,,
Hestia,1995-06-07,wraith;gibraltar,mouse & keyboard,player,4655,HestiaWasTaken,2020-08-15;2021-09-27,1,5135.0,2,1,5,,,,,,,,,
heykatie,,pathfinder,mouse & keyboard,player,,,2019-03-16;2019-09-15,0,6516.0,1,0,0,,,,,,,,,
Hiarka,2003-03-02,wraith;gibraltar,mouse & keyboard,player,2330,,2019-08-25;2022-03-20,3,22541.5,23,14,9,,,,,,,,,
Hiarky,,pathfinder;lifeline;gibraltar,mouse & keyboard,player,5680,Hierarchy,2020-01-27;2022-03-11,2,6790.0,1,4,3,,,,,,,,,
hikaruFrench,,,mouse & keyboard,player,7125,,2020-01-26;2021-02-22,1,6690.0,0,1,1,,,,,,,,,
hikuman,,,controller,player,,,2021-07-14;2022-01-28,1,8175.0,5,2,3,,,,,,,,,
Hill,1997-10-08,wraith;pathfinder,mouse & keyboard,player,6965,Hillkill65,2019-03-08;2022-01-27,3,52575.0,9,5,7,,,,,,,,,
His,,,,player;talent,,,2020-03-20;2022-02-22,2,11100.0,1,0,1,2020-03-06;2022-06-16,2,69,,,,,,
Hisofu,2001-08-15,bloodhound;wraith,mouse & keyboard,player,,,2021-04-01;2022-02-20,1,275.0,0,1,1,,,,,,,,,
HisWattson,,wattson;gibraltar;valkyrie,mouse & keyboard,player,3020,,2020-05-31;2022-01-14,2,4595.0,3,4,4,,,,,,,,,
Hodsic,1991-10-23,,mouse & keyboard,player;talent;coach,1565,,2019-03-09;2021-12-28,2,12580.0,3,0,2,2020-04-20;2021-05-14,1,13,2020-04-06;2022-03-23,2,53160.0,8,4,0
Holliday,1994-05-21,wattson,controller,player,1360,,2019-10-06;2022-03-22,3,5110.0,3,4,4,,,,,,,,,
holoac,,,mouse & keyboard,player,380,,2020-10-18;2022-03-20,2,1091.0,0,3,0,,,,,,,,,
HoNoSuu,,,mouse & keyboard,,750,,,,,,,,,,,,,,,,
Hoony,2000-12-10,gibraltar;crypto;bloodhound,mouse & keyboard,player,410,Ether00,2019-03-15;2021-12-05,2,670.0,1,6,0,,,,,,,,,
Horizxon,2001-06-24,pathfinder;gibraltar,controller,player,4455,,2020-04-06;2022-03-20,2,71521.0,7,4,5,,,,,,,,,
Hotoke,1998-12-02,,mouse & keyboard,,,,,,,,,,,,,,,,,,
HTPHarold,,,mouse & keyboard,player,720,,2019-11-14;2022-02-06,3,0.0,0,0,0,,,,,,,,,
hundredz,1989-08-10,wraith;wattson;gibraltar,mouse & keyboard,player,1560,,2019-05-22;2021-10-13,2,2055.0,0,2,5,,,,,,,,,
HusKers,1995-10-04,,mouse & keyboard,player,900,,2019-02-12;2020-04-06,1,175587.0,3,4,8,,,,,,,,,
IAmDrakey,1998-10-19,wattson,mouse & keyboard,player,,,2019-05-31;2019-12-22,0,0.0,1,0,2,,,,,,,,,
ibuo,,,mouse & keyboard,player,,,2021-04-23;2022-03-20,1,0.0,0,1,1,,,,,,,,,
IDG,,wattson,mouse & keyboard,player,2170,,2019-10-31;2020-05-30,1,990.0,0,2,0,,,,,,,,,
idgaf,,,mouse & keyboard,player,2210,idgafKakkoi;iid;idgafnvm,2020-05-30;2021-07-17,1,5185.0,0,2,2,,,,,,,,,
Iguyyyyy,,gibraltar,mouse & keyboard,player,3075,guywesly,2020-06-21;2021-10-10,1,2674.0,1,0,0,,,,,,,,,
iiTzTimmy,2000-04-19,pathfinder;wraith;valkyrie,mouse & keyboard,player,1210,,2019-09-11;2022-03-21,3,52053.0,2,1,3,,,,,,,,,
IKILLONLYNOOB,,wraith;octane,mouse & keyboard,player,3275,IKILL;RONNIE,2020-06-21;2022-03-20,2,2674.0,1,0,0,,,,,,,,,
Iko,1991-07-30,wattson,mouse & keyboard,player,980,,2020-04-06;2020-08-17,0,0.0,0,0,1,,,,,,,,,
iM07A,1995-01-03,wattson,mouse & keyboard,player,4800,iMoha,2020-01-26;2020-11-21,0,10160.0,2,2,0,,,,,,,,,
ImMadness,1998-06-19,octane;wraith,mouse & keyboard,player,11010,,2019-04-02;2022-03-23,3,184569.0,29,17,13,,,,,,,,,
iMoonDx,2003-04-03,wraith;gibraltar,mouse & keyboard,player,2235,,2021-01-31;2021-12-12,0,1380.0,3,3,1,,,,,,,,,
ImperialHal,1999-05-31,wraith;octane,mouse & keyboard,player,13670,,2019-03-15;2022-03-23,3,666024.0,51,23,20,,,,,,,,,
ImpulsiveDream,1998-04-02,bloodhound;caustic;gibraltar,controller,player,3180,Impulse,2020-03-23;2022-03-23,2,17329.0,7,5,6,,,,,,,,,
inboxes,,wraith,mouse & keyboard,,,,,,,,,,,,,,,,,,
InFighT,2001-08-28,wraith,mouse & keyboard,player;coach,3000,,2020-04-04;2021-06-22,1,5281.0,3,1,1,,,,2021-08-12;2021-11-07,0,0.0,0,0,0
Inhuman,1998-09-29,wraith;wattson;bangalore,mouse & keyboard,player,230,,2019-09-11;2021-12-05,2,2029.0,0,0,0,,,,,,,,,
Inhumed,,,mouse & keyboard,player,3425,Inhumed;iinhumed,2020-01-27;2021-12-15,1,750.0,0,0,2,,,,,,,,,
INPA,,pathfinder;gibraltar;caustic,mouse & keyboard,player,2070,,2019-10-20;2020-05-30,1,8.0,0,1,0,,,,,,,,,
Instyle,1994-07-03,wattson,mouse & keyboard,player,1460,,2019-10-31;2020-11-23,1,0.0,0,0,0,,,,,,,,,
InvctuZ,,,controller,player,,,2021-04-01;2021-06-20,0,19922.0,2,5,1,,,,,,,,,
IPirrus,2000-11-20,wraith,controller,player,1420,,2020-06-21;2022-02-15,2,8665.0,3,0,3,,,,,,,,,
iPN,1995-07-26,bloodhound;revenant,mouse & keyboard,player,4965,iPN-k0u,2019-04-03;2022-01-14,3,66672.0,10,7,5,,,,,,,,,
iShiny,1996-07-22,,mouse & keyboard,player,13100,,2019-03-27;2022-03-23,3,165375.0,8,8,11,,,,,,,,,
